State,Year,Category,Value
Melaka,2017,Environmental assessment and charges,1281
Melaka,2018,Environmental assessment and charges,613
Melaka,2019,Environmental assessment and charges,1016
Melaka,2020,Environmental assessment and charges,887
Melaka,2021,Environmental assessment and charges,922
Negeri Sembilan,2017,Environmental assessment and charges,2062
Negeri Sembilan,2018,Environmental assessment and charges,1577
Negeri Sembilan,2019,Environmental assessment and charges,1595
Negeri Sembilan,2020,Environmental assessment and charges,3290
Negeri Sembilan,2021,Environmental assessment and charges,4536
Pahang,2017,Environmental assessment and charges,1778
Pahang,2018,Environmental assessment and charges,2601
Pahang,2019,Environmental assessment and charges,2608
Pahang,2020,Environmental assessment and charges,1463
Pahang,2021,Environmental assessment and charges,1603
Perak,2017,Environmental assessment and charges,1962
Perak,2018,Environmental assessment and charges,1511
Perak,2019,Environmental assessment and charges,2127
Perak,2020,Environmental assessment and charges,3451
Perak,2021,Environmental assessment and charges,2428
Perlis,2017,Environmental assessment and charges,44
Perlis,2018,Environmental assessment and charges,92
Perlis,2019,Environmental assessment and charges,24
Perlis,2020,Environmental assessment and charges,34
Perlis,2021,Environmental assessment and charges,20
Penang,2017,Environmental assessment and charges,3898
Penang,2018,Environmental assessment and charges,3109
Penang,2019,Environmental assessment and charges,3781
Penang,2020,Environmental assessment and charges,3850
Penang,2021,Environmental assessment and charges,4221
Sabah,2017,Environmental assessment and charges,4696
Sabah,2018,Environmental assessment and charges,6824
Sabah,2019,Environmental assessment and charges,10207
Sabah,2020,Environmental assessment and charges,7969
Sabah,2021,Environmental assessment and charges,7781
Sarawak,2017,Environmental assessment and charges,13613
Sarawak,2018,Environmental assessment and charges,6824
Sarawak,2019,Environmental assessment and charges,5551
Sarawak,2020,Environmental assessment and charges,9068
Sarawak,2021,Environmental assessment and charges,14045
Selangor,2017,Environmental assessment and charges,7975
Selangor,2018,Environmental assessment and charges,22477
Selangor,2019,Environmental assessment and charges,18968
Selangor,2020,Environmental assessment and charges,12244
Selangor,2021,Environmental assessment and charges,7196
Terengganu,2017,Environmental assessment and charges,3098
Terengganu,2018,Environmental assessment and charges,790
Terengganu,2019,Environmental assessment and charges,1926
Terengganu,2020,Environmental assessment and charges,2519
Terengganu,2021,Environmental assessment and charges,2129
W.P. Kuala Lumpur,2017,Environmental assessment and charges,5476
W.P. Kuala Lumpur,2018,Environmental assessment and charges,38749
W.P. Kuala Lumpur,2019,Environmental assessment and charges,8193
W.P. Kuala Lumpur,2020,Environmental assessment and charges,11914
W.P. Kuala Lumpur,2021,Environmental assessment and charges,13112
W.P. Labuan,2017,Environmental assessment and charges,141
W.P. Labuan,2018,Environmental assessment and charges,54
W.P. Labuan,2019,Environmental assessment and charges,39
W.P. Labuan,2020,Environmental assessment and charges,30
W.P. Labuan,2021,Environmental assessment and charges,null
W.P. Putrajaya,2017,Environmental assessment and charges,425
W.P. Putrajaya,2018,Environmental assessment and charges,48
W.P. Putrajaya,2019,Environmental assessment and charges,13
W.P. Putrajaya,2020,Environmental assessment and charges,38
W.P. Putrajaya,2021,Environmental assessment and charges,50
Johor,2017,Waste management,125122
Johor,2018,Waste management,83744
Johor,2019,Waste management,160943
Johor,2020,Waste management,159478
Johor,2021,Waste management,184388
Kedah,2017,Waste management,25681
Kedah,2018,Waste management,20276
Kedah,2019,Waste management,27003
Kedah,2020,Waste management,33558
Kedah,2021,Waste management,36049
Kelantan,2017,Waste management,9057
Kelantan,2018,Waste management,3867
Kelantan,2019,Waste management,2568
Kelantan,2020,Waste management,8400
Kelantan,2021,Waste management,5800
Melaka,2017,Waste management,24219
Melaka,2018,Waste management,27781
Melaka,2019,Waste management,28575
Melaka,2020,Waste management,19661
Melaka,2021,Waste management,16335
Negeri Sembilan,2017,Waste management,34578
